map_seed,repetition,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps
300010,11,11,1,1,0,1,0.89,1.1260000000000001,4
300010,12,32,0,0,1,1,-0.3200000000000001,0.024000000000000132,10
300010,13,32,0,0,1,1,-0.3200000000000001,0.028800000000000103,14
300010,14,32,0,0,1,1,-0.3200000000000001,0.03480000000000011,14
300010,15,22,1,1,0,1,0.7799999999999999,1.0628000000000002,5
300011,0,32,0,0,1,1,-0.3200000000000001,-0.05479999999999992,9
300011,1,32,0,0,1,1,-0.3200000000000001,-0.08959999999999996,4
300011,2,32,0,0,1,1,-0.3200000000000001,-0.03199999999999989,12
300011,3,32,0,0,1,1,-0.3200000000000001,-0.07039999999999992,5
300011,4,32,0,0,1,1,-0.3200000000000001,-0.04039999999999981,12
300011,5,32,0,0,1,1,-0.3200000000000001,-0.0511999999999999,14
300011,6,32,0,0,1,1,-0.3200000000000001,-0.07039999999999992,7
300011,7,16,1,1,0,1,0.84,1.0032,1
300011,8,32,0,0,1,1,-0.3200000000000001,-0.0487999999999999,4
300011,9,32,0,0,1,1,-0.3200000000000001,-0.07639999999999995,3
300011,10,32,0,0,1,1,-0.3200000000000001,-0.06319999999999984,6
300011,11,32,0,0,1,1,-0.3200000000000001,-0.08959999999999999,7
300011,12,32,0,0,1,1,-0.3200000000000001,-0.00799999999999984,10
300011,13,3,1,1,0,1,0.97,1.0936,0
300011,14,32,0,0,1,1,-0.3200000000000001,-0.06439999999999989,4
300011,15,32,0,0,1,1,-0.3200000000000001,-0.08119999999999991,4
300012,0,32,0,0,1,1,-0.3200000000000001,0.016400000000000137,13
300012,1,32,0,0,1,1,-0.3200000000000001,-0.032799999999999885,7
300012,2,32,0,0,1,1,-0.3200000000000001,-0.029199999999999934,9
300012,3,32,0,0,1,1,-0.3200000000000001,-0.023199999999999887,9
300012,4,32,0,0,1,1,-0.3200000000000001,-0.014799999999999855,10
300012,5,32,0,0,1,1,-0.3200000000000001,-0.037599999999999884,7
300012,6,17,1,1,0,1,0.83,1.044,7
300012,7,32,0,0,1,1,-0.3200000000000001,-0.04119999999999993,9
300012,8,32,0,0,1,1,-0.3200000000000001,0.03560000000000024,11
300012,9,32,0,0,1,1,-0.3200000000000001,0.010400000000000159,6
300012,10,15,1,1,0,1,0.85,1.07,5
300012,11,32,0,0,1,1,-0.3200000000000001,-0.06279999999999993,10
300012,12,10,1,1,0,1,0.9,1.0984,2
300012,13,32,0,0,1,1,-0.3200000000000001,0.028400000000000175,13
300012,14,32,0,0,1,1,-0.3200000000000001,0.006800000000000167,8
300012,15,32,0,0,1,1,-0.3200000000000001,0.01160000000000011,18
300013,0,23,1,1,0,1,0.7699999999999999,1.118,7
300013,1,19,1,1,0,1,0.8099999999999999,1.1340000000000001,3
300013,2,32,0,0,1,1,-0.3200000000000001,0.11320000000000013,12
300013,3,20,1,1,0,1,0.7999999999999999,1.1384,8
300013,4,32,0,0,1,1,-0.3200000000000001,0.11080000000000016,13
300013,5,32,0,0,1,1,-0.3200000000000001,0.1396000000000001,17
300013,6,32,0,0,1,1,-0.3200000000000001,0.10240000000000014,9
300013,7,32,0,0,1,1,-0.3200000000000001,0.07840000000000011,13
300013,8,32,0,0,1,1,-0.3200000000000001,0.09520000000000012,13
300013,9,32,0,0,1,1,-0.3200000000000001,0.09160000000000013,13
300013,10,32,0,0,1,1,-0.3200000000000001,0.11920000000000015,7
300013,11,32,0,0,1,1,-0.3200000000000001,0.07360000000000014,11
