map_seed,repetition,policy,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps,trajectory_sha256
300076,6,random,11,1,1,0,1,0.89,1.034,4,f6b0819a2d54e39a6aba0bb58842fe5df3bd4bc7b069dfad657b15e2021d6a9f
300076,7,random,12,1,1,0,1,0.88,1.0312000000000001,5,1c156b50935ecb88313ede3a6870fce86d7dbd0d6636d41553eeb22610f288ca
300076,8,guided,9,1,1,0,1,0.91,1.0552000000000001,6,4d722c1ab805a755d5904e7d986a498595e575357a5579a28338ddae7782891e
300076,9,guided,9,1,1,0,1,0.91,1.0552000000000001,6,4d722c1ab805a755d5904e7d986a498595e575357a5579a28338ddae7782891e
300076,10,guided,9,1,1,0,1,0.91,1.0552000000000001,6,4d722c1ab805a755d5904e7d986a498595e575357a5579a28338ddae7782891e
300076,11,guided,9,1,1,0,1,0.91,1.0552000000000001,6,4d722c1ab805a755d5904e7d986a498595e575357a5579a28338ddae7782891e
300076,12,guided,9,1,1,0,1,0.91,1.0552000000000001,6,4d722c1ab805a755d5904e7d986a498595e575357a5579a28338ddae7782891e
300076,13,guided,9,1,1,0,1,0.91,1.0552000000000001,6,4d722c1ab805a755d5904e7d986a498595e575357a5579a28338ddae7782891e
300076,14,guided,9,1,1,0,1,0.91,1.0552000000000001,6,4d722c1ab805a755d5904e7d986a498595e575357a5579a28338ddae7782891e
300076,15,guided,9,1,1,0,1,0.91,1.0552000000000001,6,4d722c1ab805a755d5904e7d986a498595e575357a5579a28338ddae7782891e
300077,0,random,31,1,1,0,1,0.69,0.8624,11,e78b2d506566d8b0c13a2fdc89f3bba88138f49e9a7c3c7afff5964fb6cf14b6
300077,1,random,8,1,1,0,1,0.9199999999999999,1.012,0,7967acf4c1c4635ed48b384f2c6bf991e6c626500af7120ed3a0c0a8b39b6fd2
300077,2,random,5,1,1,0,1,0.95,1.0372000000000001,1,4c9751083a4f53e89bc89973f0a7904045709b1b3829e1f7430f0ada62f5c89e
300077,3,random,32,0,0,1,1,-0.3200000000000001,-0.13079999999999997,8,a3b4ebeb958026c2dc88b76ef540bc832738518c90a6ef90ab844bfef6ee4d32
300077,4,random,31,1,1,0,1,0.69,0.8684000000000001,3,db35485d0c4e7c8420c5c43bedd5ce71e337894901c40d37a40536529fc5dd3a
300077,5,random,32,0,0,1,1,-0.3200000000000001,-0.15120000000000006,7,cbb01ae5e8febff2594cb8779aa4ee1a28bbaec9d9af86762237bda0bd3ef83b
300077,6,random,26,1,1,0,1,0.74,0.9028,6,b5218978d7f0df419f8fcc3eef1b8cdd0015c59a711c6fcf9bbfa39c83a65f3f
300077,7,random,8,1,1,0,1,0.9199999999999999,1.0144,4,87d12df25f3be72a9eea2a59b95719c210d44efc730eb3e29ecbd8a1d3f17d9d
300077,8,guided,2,1,1,0,1,0.98,1.0612,0,488d64629c82d345ed22f3bafa7109079ff432448499e2aecfae3cab440fa288
300077,9,guided,2,1,1,0,1,0.98,1.0612,0,488d64629c82d345ed22f3bafa7109079ff432448499e2aecfae3cab440fa288
300077,10,guided,2,1,1,0,1,0.98,1.0612,0,488d64629c82d345ed22f3bafa7109079ff432448499e2aecfae3cab440fa288
300077,11,guided,2,1,1,0,1,0.98,1.0612,0,488d64629c82d345ed22f3bafa7109079ff432448499e2aecfae3cab440fa288
300077,12,guided,2,1,1,0,1,0.98,1.0612,0,488d64629c82d345ed22f3bafa7109079ff432448499e2aecfae3cab440fa288
300077,13,guided,2,1,1,0,1,0.98,1.0612,0,488d64629c82d345ed22f3bafa7109079ff432448499e2aecfae3cab440fa288
300077,14,guided,2,1,1,0,1,0.98,1.0612,0,488d64629c82d345ed22f3bafa7109079ff432448499e2aecfae3cab440fa288
300077,15,guided,2,1,1,0,1,0.98,1.0612,0,488d64629c82d345ed22f3bafa7109079ff432448499e2aecfae3cab440fa288
300078,0,random,32,0,0,1,1,-0.3200000000000001,-0.02119999999999983,7,b0452edd40d1ad199e8c1b479d6f1b9b73ffb585faca95a3260d3b3e8a2e2c0d
300078,1,random,32,0,0,1,1,-0.3200000000000001,-0.034399999999999806,3,c1c430d7b2cf92369a0cce2a1faa850783dda166cd6587b532c1ad54c407bbaa
300078,2,random,32,0,0,1,1,-0.3200000000000001,-0.06559999999999987,9,ee4b29da5eaa927d1d39667a11344bddcacb8e2edc815272b9b7ebf24b69f71b
300078,3,random,32,0,0,1,1,-0.3200000000000001,-0.004399999999999793,13,ec5836f4f79a43ae1b2ce0e2219bea47651ffd46541fd8995945b9959a8784c8
300078,4,random,32,0,0,1,1,-0.3200000000000001,-0.07759999999999986,15,ab7be67505284b3174a5c5a9aaa9c7f9a87bbf3e43ca8adf7d7aea832d5bd9aa
300078,5,random,32,0,0,1,1,-0.3200000000000001,-0.06559999999999983,7,5d54cadc7b65f5b146cb9971a44cc910ccbe0ad2ba16cd0b0ec23ec02efa3663
300078,6,random,28,1,1,0,1,0.72,0.9660000000000002,7,53cf83b85e4a54bff7643370407ecd3018e87cb821a55d1b39038058ce8e44a2
300078,7,random,20,1,1,0,1,0.7999999999999999,1.0160000000000002,3,fae5e560c8a583e6ba102472a393bab963b49709a8c89b417711f60c078cc4da
