scenario_id,policy_id,seed,shortfall_per_10k,post_shift_shortfall_per_10k,false_alarm,false_mitigation_ticks,missed_crisis,response_delay_ticks,mitigation_ticks,post_shift_ticks
forwarding_shift,unique,41000,40230.0,66938.43594009984,False,0,False,26,339,601
forwarding_shift,unique,41001,39290.0,65374.37603993345,False,0,False,20,339,601
forwarding_shift,unique,41002,40340.0,67121.46422628952,False,0,False,20,339,601
forwarding_shift,unique,41003,40590.0,67537.43760399334,False,0,False,14,339,601
forwarding_shift,unique,41004,39200.0,65224.62562396007,False,0,False,17,339,601
forwarding_shift,unique,41005,41430.0,68935.10815307821,False,0,False,23,339,601
forwarding_shift,unique,41006,38660.0,64326.1231281198,False,0,False,24,339,601
forwarding_shift,unique,41007,41040.0,68286.18968386024,False,0,False,17,339,601
forwarding_shift,unique,41008,39860.0,66322.79534109817,False,0,False,19,339,601
forwarding_shift,unique,41009,39620.0,65923.4608985025,False,0,False,17,339,601
forwarding_shift,unique,41010,39530.0,65773.71048252912,False,0,False,19,339,601
forwarding_shift,unique,41011,39120.0,65091.51414309485,False,0,False,18,339,601
forwarding_shift,unique,41012,39870.0,66339.43427620633,False,0,False,17,339,601
forwarding_shift,unique,41013,39380.0,65524.12645590683,False,0,False,18,339,601
forwarding_shift,unique,41014,41430.0,68935.10815307821,False,0,False,22,339,601
forwarding_shift,unique,41015,39760.0,66156.40599001665,False,0,False,16,339,601
forwarding_shift,unique,41016,39790.0,66206.3227953411,False,0,False,14,339,601
forwarding_shift,unique,41017,40060.0,66655.57404326124,False,0,False,26,339,601
forwarding_shift,unique,41018,40150.0,66805.32445923462,False,0,False,18,339,601
forwarding_shift,unique,41019,39790.0,66206.3227953411,False,0,False,13,339,601
forwarding_shift,unique,41020,40770.0,67836.9384359401,False,0,False,16,339,601
forwarding_shift,unique,41021,40790.0,67870.2163061564,False,0,False,22,339,601
forwarding_shift,unique,41022,39380.0,65524.12645590683,False,0,False,17,339,601
forwarding_shift,unique,41023,40340.0,67121.46422628952,False,0,False,14,339,601
forwarding_shift,decay,41000,41390.0,68868.55241264559,False,0,False,17,339,601
forwarding_shift,decay,41001,40599.99999999999,67554.0765391015,False,0,False,14,339,601
forwarding_shift,decay,41002,40130.0,66772.04658901831,False,0,False,13,339,601
forwarding_shift,decay,41003,40330.0,67104.82529118136,False,0,False,10,339,601
forwarding_shift,decay,41004,40960.0,68153.078202995,False,0,False,14,339,601
forwarding_shift,decay,41005,42210.0,70232.94509151415,False,0,False,7,339,601
forwarding_shift,decay,41006,39230.0,65274.54242928453,False,0,False,15,339,601
forwarding_shift,decay,41007,41910.0,69733.77703826955,False,0,False,13,339,601
forwarding_shift,decay,41008,40150.0,66805.32445923462,False,0,False,3,339,601
forwarding_shift,decay,41009,40570.00000000001,67504.15973377704,False,0,False,15,339,601
forwarding_shift,decay,41010,40030.0,66605.65723793677,False,0,False,15,339,601
forwarding_shift,decay,41011,39120.0,65091.51414309485,False,0,False,13,339,601
forwarding_shift,decay,41012,40130.0,66772.04658901831,False,0,False,5,339,601
forwarding_shift,decay,41013,39400.0,65557.40432612313,False,0,False,6,339,601
forwarding_shift,decay,41014,43440.0,72279.53410981697,False,0,False,18,339,601
forwarding_shift,decay,41015,41140.0,68452.57903494177,False,0,False,12,339,601
forwarding_shift,decay,41016,39750.0,66139.76705490849,False,0,False,3,339,601
forwarding_shift,decay,41017,40670.0,67670.54908485858,False,0,False,24,339,601
forwarding_shift,decay,41018,40150.0,66805.32445923462,False,0,False,10,339,601
forwarding_shift,decay,41019,41040.0,68286.18968386024,False,0,False,11,339,601
forwarding_shift,decay,41020,40470.0,67337.77038269551,False,0,False,6,339,601
forwarding_shift,decay,41021,41880.0,69683.8602329451,False,0,False,18,339,601
forwarding_shift,decay,41022,40039.99999999999,66622.29617304493,False,0,False,11,339,601
forwarding_shift,decay,41023,41000.0,68219.63394342762,False,0,False,10,339,601
forwarding_shift,never,41000,112700.0,187520.7986688852,False,0,True,601,0,601
forwarding_shift,never,41001,112720.0,187554.07653910152,False,0,True,601,0,601
forwarding_shift,never,41002,111840.0,186089.85024958404,False,0,True,601,0,601
forwarding_shift,never,41003,112609.99999999999,187371.0482529118,False,0,True,601,0,601
forwarding_shift,never,41004,111910.0,186206.3227953411,False,0,True,601,0,601
forwarding_shift,never,41005,114040.0,189750.4159733777,False,0,True,601,0,601
forwarding_shift,never,41006,112640.0,187420.9650582363,False,0,True,601,0,601
forwarding_shift,never,41007,113630.0,189068.21963394343,False,0,True,601,0,601
forwarding_shift,never,41008,112540.0,187254.57570715473,False,0,True,601,0,601
forwarding_shift,never,41009,111930.0,186239.6006655574,False,0,True,601,0,601
forwarding_shift,never,41010,112570.0,187304.4925124792,False,0,True,601,0,601
forwarding_shift,never,41011,111840.0,186089.85024958404,False,0,True,601,0,601
forwarding_shift,never,41012,112340.0,186921.79700499168,False,0,True,601,0,601
forwarding_shift,never,41013,112190.0,186672.21297836938,False,0,True,601,0,601
forwarding_shift,never,41014,113400.0,188685.52412645592,False,0,True,601,0,601
forwarding_shift,never,41015,112300.0,186855.24126455907,False,0,True,601,0,601
forwarding_shift,never,41016,111519.99999999999,185557.40432612313,False,0,True,601,0,601
forwarding_shift,never,41017,112300.0,186855.24126455907,False,0,True,601,0,601
forwarding_shift,never,41018,112010.0,186372.71214642262,False,0,True,601,0,601
forwarding_shift,never,41019,113310.0,188535.77371048252,False,0,True,601,0,601
forwarding_shift,never,41020,112660.0,187454.2429284526,False,0,True,601,0,601
forwarding_shift,never,41021,112570.0,187304.4925124792,False,0,True,601,0,601
forwarding_shift,never,41022,112190.0,186672.21297836938,False,0,True,601,0,601
forwarding_shift,never,41023,113210.0,188369.38435940098,False,0,True,601,0,601
reporting_and_timing_shift,raw,41000,69500.0,173316.70822942644,False,0,False,37,23,401
reporting_and_timing_shift,raw,41001,69490.0,173291.7705735661,False,0,False,71,21,401
