map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining
300000,13,6,474,1,-0.04520000000000001,633,0,0,27
300000,13,7,633,0,0.03360000000000002,472,0,0,26
300000,13,8,472,3,-0.006399999999999997,471,0,0,25
300000,13,9,471,3,-0.006399999999999997,470,0,0,24
300000,13,10,470,2,0.03239999999999999,437,0,0,23
300000,13,11,437,2,0.031200000000000006,404,0,0,22
300000,13,12,404,0,1.03,-1,1,0,21
300000,14,1,447,2,0.031200000000000006,414,0,0,32
300000,14,2,414,3,-0.0476,445,0,0,31
300000,14,3,445,3,-0.04639999999999999,476,0,0,30
300000,14,4,476,0,-0.006399999999999997,475,0,0,29
300000,14,5,475,3,-0.006399999999999997,474,0,0,28
300000,14,6,474,1,-0.04520000000000001,633,0,0,27
300000,14,7,633,0,0.03360000000000002,472,0,0,26
300000,14,8,472,0,-0.006399999999999997,471,0,0,25
300000,14,9,471,1,-0.04520000000000001,630,0,0,24
300000,14,10,630,2,0.03360000000000002,597,0,0,23
300000,14,11,597,2,0.03239999999999999,564,0,0,22
300000,14,12,564,0,0.031200000000000006,403,0,0,21
300000,14,13,403,2,-0.0476,370,0,0,20
300000,14,14,370,1,-0.04639999999999999,529,0,0,19
300000,14,15,529,1,-0.006399999999999997,528,0,0,18
300000,14,16,528,3,0.03239999999999999,559,0,0,17
300000,14,17,559,2,-0.04639999999999999,526,0,0,16
300000,14,18,526,3,0.03239999999999999,557,0,0,15
300000,14,19,557,2,-0.04639999999999999,524,0,0,14
300000,14,20,524,3,0.03239999999999999,555,0,0,13
300000,14,21,555,1,-0.007599999999999997,554,0,0,12
300000,14,22,554,3,-0.04639999999999999,585,0,0,11
300000,14,23,585,0,0.03239999999999999,424,0,0,10
300000,14,24,424,1,-0.04639999999999999,583,0,0,9
300000,14,25,583,0,0.03239999999999999,422,0,0,8
300000,14,26,422,0,0.031200000000000006,325,0,0,7
300000,14,27,325,2,1.03,-1,1,0,6
300000,15,1,447,0,0.031200000000000006,350,0,0,32
300000,15,2,350,3,-0.008799999999999999,349,0,0,31
300000,15,3,349,2,1.03,-1,1,0,30
300001,0,1,959,2,-0.005199999999999995,958,0,0,32
