map_seed,repetition,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps
300009,10,11,1,1,0,1,0.89,1.0036,1
300009,11,2,1,1,0,1,0.98,1.0612,0
300009,12,3,1,1,0,1,0.97,1.0536,1
300009,13,6,1,1,0,1,0.94,1.0296,4
300009,14,16,1,1,0,1,0.84,0.9548000000000001,6
300009,15,32,0,0,1,1,-0.3200000000000001,-0.11039999999999983,10
300010,0,32,0,0,1,1,-0.3200000000000001,0.03960000000000015,16
300010,1,32,0,0,1,1,-0.3200000000000001,0.02640000000000009,13
300010,2,25,1,1,0,1,0.7499999999999999,1.0532000000000001,6
300010,3,13,1,1,0,1,0.87,1.1192,4
300010,4,12,1,1,0,1,0.88,1.1088,1
300010,5,32,0,0,1,1,-0.3200000000000001,0.02040000000000014,6
300010,6,32,0,0,1,1,-0.3200000000000001,0.031200000000000103,13
300010,7,19,1,1,0,1,0.8099999999999999,1.0748,2
300010,8,29,1,1,0,1,0.71,1.0144000000000002,8
300010,9,30,1,1,0,1,0.7,1.026,5
300010,10,29,1,1,0,1,0.71,1.0396,10
300010,11,32,0,0,1,1,-0.3200000000000001,0.04800000000000019,22
300010,12,29,1,1,0,1,0.71,1.0324000000000002,10
300010,13,10,1,1,0,1,0.9,1.1264,3
300010,14,32,0,0,1,1,-0.3200000000000001,0.03720000000000013,17
300010,15,17,1,1,0,1,0.83,1.0744,6
300011,0,4,1,1,0,1,0.96,1.0872,1
300011,1,32,0,0,1,1,-0.3200000000000001,-0.08359999999999994,9
300011,2,22,1,1,0,1,0.7799999999999999,0.9852000000000001,5
300011,3,32,0,0,1,1,-0.3200000000000001,-0.02479999999999996,14
300011,4,7,1,1,0,1,0.9299999999999999,1.068,0
300011,5,19,1,1,0,1,0.8099999999999999,0.9984000000000001,0
300011,6,32,0,0,1,1,-0.3200000000000001,-0.005599999999999744,7
300011,7,32,0,0,1,1,-0.3200000000000001,-0.053599999999999884,5
300011,8,5,1,1,0,1,0.95,1.0772,0
300011,9,17,1,1,0,1,0.83,1.0088000000000001,2
300011,10,5,1,1,0,1,0.95,1.0784,2
300011,11,32,0,0,1,1,-0.3200000000000001,-0.016399999999999942,18
300011,12,24,1,1,0,1,0.7599999999999999,0.9892000000000001,7
300011,13,8,1,1,0,1,0.9199999999999999,1.064,1
300011,14,32,0,0,1,1,-0.3200000000000001,-0.018799999999999845,18
300011,15,18,1,1,0,1,0.82,0.9952000000000001,3
300012,0,32,0,0,1,1,-0.3200000000000001,-0.021999999999999853,7
300012,1,28,1,1,0,1,0.72,0.9748000000000001,6
300012,2,13,1,1,0,1,0.87,1.0588,3
300012,3,32,0,0,1,1,-0.3200000000000001,-0.04359999999999993,14
300012,4,32,0,0,1,1,-0.3200000000000001,-0.01599999999999982,8
300012,5,32,0,0,1,1,-0.3200000000000001,-0.056799999999999906,9
300012,6,32,0,0,1,1,-0.3200000000000001,-0.023199999999999818,12
300012,7,32,0,0,1,1,-0.3200000000000001,-0.03879999999999989,11
300012,8,32,0,0,1,1,-0.3200000000000001,-0.011199999999999877,21
300012,9,4,1,1,0,1,0.96,1.1272,0
300012,10,32,0,0,1,1,-0.3200000000000001,0.029600000000000265,9
300012,11,31,1,1,0,1,0.69,0.9604000000000001,9
300012,12,22,1,1,0,1,0.7799999999999999,1.0312000000000001,6
300012,13,32,0,0,1,1,-0.3200000000000001,0.012800000000000158,8
300012,14,16,1,1,0,1,0.84,1.042,2
300012,15,11,1,1,0,1,0.89,1.0848,1
300013,0,32,0,0,1,1,-0.3200000000000001,0.0868000000000001,13
300013,1,32,0,0,1,1,-0.3200000000000001,0.07120000000000012,9
300013,2,32,0,0,1,1,-0.3200000000000001,0.11080000000000015,11
300013,3,28,1,1,0,1,0.72,1.1064,10
300013,4,32,0,0,1,1,-0.3200000000000001,0.10960000000000011,17
300013,5,9,1,1,0,1,0.91,1.1872,1
300013,6,32,0,0,1,1,-0.3200000000000001,0.0880000000000001,11
300013,7,32,0,0,1,1,-0.3200000000000001,0.07120000000000012,11
300013,8,28,1,1,0,1,0.72,1.116,8
300013,9,28,1,1,0,1,0.72,1.0752000000000002,6
300013,10,32,0,0,1,1,-0.3200000000000001,0.0808000000000001,8
300013,11,32,0,0,1,1,-0.3200000000000001,0.06520000000000012,13
300013,12,32,0,0,1,1,-0.3200000000000001,0.14440000000000014,13
300013,13,32,0,0,1,1,-0.3200000000000001,0.10120000000000012,19
300013,14,32,0,0,1,1,-0.3200000000000001,0.10960000000000014,13
300013,15,32,0,0,1,1,-0.3200000000000001,0.10240000000000012,8
300014,0,32,0,0,1,1,-0.3200000000000001,0.05600000000000033,11
300014,1,11,1,1,0,1,0.89,1.0764,3
300014,2,32,0,0,1,1,-0.3200000000000001,0.011600000000000166,7
300014,3,9,1,1,0,1,0.91,1.0976000000000001,3
300014,4,16,1,1,0,1,0.84,1.0612000000000001,2
300014,5,32,0,0,1,1,-0.3200000000000001,-0.06879999999999994,3
300014,6,32,0,0,1,1,-0.3200000000000001,0.021200000000000163,12
300014,7,32,0,0,1,1,-0.3200000000000001,0.027200000000000307,9
300014,8,21,1,1,0,1,0.7899999999999999,1.0532000000000001,5
300014,9,32,0,0,1,1,-0.3200000000000001,0.022400000000000198,8
300014,10,30,1,1,0,1,0.7,0.9752000000000001,4
300014,11,32,0,0,1,1,-0.3200000000000001,0.059600000000000264,8
300014,12,32,0,0,1,1,-0.3200000000000001,-0.03639999999999993,5
300014,13,7,1,1,0,1,0.9299999999999999,1.102,1
300014,14,32,0,0,1,1,-0.3200000000000001,0.0416000000000003,5
300014,15,32,0,0,1,1,-0.3200000000000001,0.008000000000000174,11
300015,0,32,0,0,1,1,-0.3200000000000001,0.032400000000000095,13
300015,1,32,0,0,1,1,-0.3200000000000001,0.051600000000000146,6
300015,2,32,0,0,1,1,-0.3200000000000001,0.03240000000000012,7
300015,3,32,0,0,1,1,-0.3200000000000001,0.020400000000000112,10
300015,4,6,1,1,0,1,0.94,1.1568,1
300015,5,32,0,0,1,1,-0.3200000000000001,0.05880000000000013,8
300015,6,32,0,0,1,1,-0.3200000000000001,0.01680000000000012,10
300015,7,31,1,1,0,1,0.69,1.028,6
300015,8,32,0,0,1,1,-0.3200000000000001,0.051600000000000146,13
300015,9,32,0,0,1,1,-0.3200000000000001,0.05520000000000011,10
300015,10,32,0,0,1,1,-0.3200000000000001,0.06240000000000018,12
300015,11,32,0,0,1,1,-0.3200000000000001,-0.0059999999999998666,11
300015,12,32,0,0,1,1,-0.3200000000000001,-0.0011999999999998956,9
300015,13,32,0,0,1,1,-0.3200000000000001,0.04320000000000018,9
300015,14,32,0,0,1,1,-0.3200000000000001,0.05640000000000017,11
300015,15,32,0,0,1,1,-0.3200000000000001,0.03600000000000013,5
300016,0,1,1,1,0,1,0.99,1.03,0
300016,1,4,1,1,0,1,0.96,1.0036,3
300016,2,5,1,1,0,1,0.95,0.996,2
300016,3,22,1,1,0,1,0.7799999999999999,0.8608,13
300016,4,1,1,1,0,1,0.99,1.03,0
300016,5,3,1,1,0,1,0.97,1.0124,2
300016,6,3,1,1,0,1,0.97,1.0124,2
300016,7,2,1,1,0,1,0.98,1.0212,1
300016,8,1,1,1,0,1,0.99,1.03,0
300016,9,1,1,1,0,1,0.99,1.03,0
300016,10,2,1,1,0,1,0.98,1.0212,1
300016,11,1,1,1,0,1,0.99,1.03,0
300016,12,1,1,1,0,1,0.99,1.03,0
300016,13,12,1,1,0,1,0.88,0.9416,3
300016,14,1,1,1,0,1,0.99,1.03,0
300016,15,5,1,1,0,1,0.95,0.996,2
300017,0,32,0,0,1,1,-0.3200000000000001,0.3096000000000003,22
300017,1,32,0,0,1,1,-0.3200000000000001,0.18600000000000017,14
300017,2,32,0,0,1,1,-0.3200000000000001,0.3072000000000003,24
300017,3,32,0,0,1,1,-0.3200000000000001,0.1956000000000002,12
300017,4,21,1,1,0,1,0.7899999999999999,1.2780000000000002,11
300017,5,32,0,0,1,1,-0.3200000000000001,0.30720000000000025,18
300017,6,32,0,0,1,1,-0.3200000000000001,0.3096000000000003,21
300017,7,32,0,0,1,1,-0.3200000000000001,0.31920000000000026,23
300017,8,32,0,0,1,1,-0.3200000000000001,0.31440000000000035,25
300017,9,32,0,0,1,1,-0.3200000000000001,0.3192000000000003,20
300017,10,32,0,0,1,1,-0.3200000000000001,0.31320000000000037,19
300017,11,32,0,0,1,1,-0.3200000000000001,0.2604000000000003,15
300017,12,32,0,0,1,1,-0.3200000000000001,0.29880000000000034,21
300017,13,32,0,0,1,1,-0.3200000000000001,0.30840000000000034,14
300017,14,32,0,0,1,1,-0.3200000000000001,0.32760000000000034,24
300017,15,32,0,0,1,1,-0.3200000000000001,0.24840000000000023,13
300018,0,32,0,0,1,1,-0.3200000000000001,0.024000000000000105,8
300018,1,32,0,0,1,1,-0.3200000000000001,0.007200000000000095,5
300018,2,20,1,1,0,1,0.7999999999999999,1.0624,7
300018,3,32,0,0,1,1,-0.3200000000000001,0.06480000000000014,13
300018,4,32,0,0,1,1,-0.3200000000000001,0.020400000000000085,5
300018,5,32,0,0,1,1,-0.3200000000000001,0.06240000000000015,7
300018,6,31,1,1,0,1,0.69,1.022,4
300018,7,32,0,0,1,1,-0.3200000000000001,-0.01319999999999992,5
300018,8,32,0,0,1,1,-0.3200000000000001,0.12120000000000024,18
300018,9,32,0,0,1,1,-0.3200000000000001,0.027600000000000145,12
300018,10,32,0,0,1,1,-0.3200000000000001,0.04920000000000016,11
300018,11,32,0,0,1,1,-0.3200000000000001,0.01920000000000005,10
300018,12,32,0,0,1,1,-0.3200000000000001,0.010800000000000108,7
300018,13,32,0,0,1,1,-0.3200000000000001,0.07680000000000015,9
300018,14,32,0,0,1,1,-0.3200000000000001,0.02400000000000011,2
300018,15,14,1,1,0,1,0.86,1.108,1
300019,0,32,0,0,1,1,-0.3200000000000001,0.4500000000000005,12
300019,1,32,0,0,1,1,-0.3200000000000001,0.5280000000000007,16
300019,2,32,0,0,1,1,-0.3200000000000001,0.5400000000000005,23
300019,3,32,0,0,1,1,-0.3200000000000001,0.4788000000000007,13
300019,4,32,0,0,1,1,-0.3200000000000001,0.4572000000000006,13
300019,5,32,0,0,1,1,-0.3200000000000001,0.513600000000001,11
300019,6,32,0,0,1,1,-0.3200000000000001,0.4596000000000006,11
300019,7,32,0,0,1,1,-0.3200000000000001,0.4944000000000006,15
300019,8,32,0,0,1,1,-0.3200000000000001,0.5016000000000007,19
300019,9,32,0,0,1,1,-0.3200000000000001,0.4428000000000005,15
300019,10,32,0,0,1,1,-0.3200000000000001,0.5316000000000008,17
300019,11,25,1,1,0,1,0.7499999999999999,1.3652000000000002,10
300019,12,32,0,0,1,1,-0.3200000000000001,0.5508000000000005,25
300019,13,32,0,0,1,1,-0.3200000000000001,0.4932000000000005,16
300019,14,32,0,0,1,1,-0.3200000000000001,0.45720000000000044,7
300019,15,32,0,0,1,1,-0.3200000000000001,0.4380000000000005,12
300020,0,32,0,0,1,1,-0.3200000000000001,0.013200000000000121,7
300020,1,32,0,0,1,1,-0.3200000000000001,0.09960000000000013,13
300020,2,32,0,0,1,1,-0.3200000000000001,0.05880000000000016,7
300020,3,32,0,0,1,1,-0.3200000000000001,0.12480000000000019,11
300020,4,32,0,0,1,1,-0.3200000000000001,0.0840000000000003,9
300020,5,32,0,0,1,1,-0.3200000000000001,0.10680000000000016,11
300020,6,32,0,0,1,1,-0.3200000000000001,-0.008399999999999921,8
300020,7,32,0,0,1,1,-0.3200000000000001,0.09120000000000023,10
300020,8,32,0,0,1,1,-0.3200000000000001,0.043200000000000155,18
300020,9,32,0,0,1,1,-0.3200000000000001,-0.021599999999999953,8
300020,10,32,0,0,1,1,-0.3200000000000001,0.03000000000000022,1
300020,11,32,0,0,1,1,-0.3200000000000001,0.052800000000000125,9
300020,12,32,0,0,1,1,-0.3200000000000001,0.15840000000000032,18
300020,13,16,1,1,0,1,0.84,1.088,1
300020,14,32,0,0,1,1,-0.3200000000000001,0.05400000000000013,4
300020,15,32,0,0,1,1,-0.3200000000000001,0.027600000000000117,12
300021,0,32,0,0,1,1,-0.3200000000000001,-0.06399999999999988,14
300021,1,32,0,0,1,1,-0.3200000000000001,-0.03279999999999994,6
300021,2,32,0,0,1,1,-0.3200000000000001,-0.023199999999999874,7
300021,3,32,0,0,1,1,-0.3200000000000001,0.042800000000000255,5
300021,4,32,0,0,1,1,-0.3200000000000001,0.06200000000000028,14
300021,5,32,0,0,1,1,-0.3200000000000001,-0.04479999999999991,9
300021,6,32,0,0,1,1,-0.3200000000000001,-0.017199999999999882,6
300021,7,32,0,0,1,1,-0.3200000000000001,-0.029199999999999823,4
300021,8,7,1,1,0,1,0.9299999999999999,1.1104,1
300021,9,32,0,0,1,1,-0.3200000000000001,0.039200000000000124,13
300021,10,32,0,0,1,1,-0.3200000000000001,-0.06159999999999992,7
300021,11,13,1,1,0,1,0.87,1.0732000000000002,3
300021,12,32,0,0,1,1,-0.3200000000000001,-0.02199999999999981,19
300021,13,32,0,0,1,1,-0.3200000000000001,-0.014799999999999786,17
300021,14,28,1,1,0,1,0.72,0.9940000000000001,8
300021,15,20,1,1,0,1,0.7999999999999999,1.0212,4
300022,0,6,1,1,0,1,0.94,1.0696,3
300022,1,32,0,0,1,1,-0.3200000000000001,-0.0679999999999999,16
300022,2,32,0,0,1,1,-0.3200000000000001,-0.09799999999999998,6
300022,3,32,0,0,1,1,-0.3200000000000001,-0.06799999999999988,10
300022,4,5,1,1,0,1,0.95,1.0796000000000001,0
300022,5,32,0,0,1,1,-0.3200000000000001,-0.13519999999999993,21
300022,6,7,1,1,0,1,0.9299999999999999,1.0716,2
300022,7,3,1,1,0,1,0.97,1.0936,0
