condition,seed,checkpoint,updates_in_window,mean_loss,last_loss,training_examples
exhaustive,0,19700,100,0.0015100499533582479,0.0009612427675165236,1260800
exhaustive,0,19800,100,0.0015520687215030194,0.002287305425852537,1267200
exhaustive,0,19900,100,0.0015538249386008829,0.001518365810625255,1273600
exhaustive,0,20000,100,0.0017256955831544474,0.0016834231792017817,1280000
exhaustive,0,20100,100,0.0016342132596764713,0.001231997855938971,1286400
exhaustive,0,20200,100,0.0015669062803499402,0.0017462066607549787,1292800
exhaustive,0,20300,100,0.001536746061174199,0.000529806362465024,1299200
exhaustive,0,20400,100,0.0014188076910795645,0.002136496128514409,1305600
exhaustive,0,20500,100,0.0015987078397301957,0.0017134021036326885,1312000
exhaustive,0,20600,100,0.0015286216093227268,0.002777551766484976,1318400
exhaustive,0,20700,100,0.0015256165800383314,0.0013908869586884975,1324800
exhaustive,0,20800,100,0.0014295080507872625,0.001477681566029787,1331200
exhaustive,0,20900,100,0.001706519008730538,0.0014845116529613733,1337600
exhaustive,0,21000,100,0.0015791289013577625,0.0012684620451182127,1344000
exhaustive,0,21100,100,0.0015415887290146201,0.001408217241987586,1350400
exhaustive,0,21200,100,0.001424534555990249,0.0015934737166389823,1356800
exhaustive,0,21300,100,0.0016457144531887024,0.0010396888246759772,1363200
exhaustive,0,21400,100,0.0015181845327606426,0.0018400269327685237,1369600
exhaustive,0,21500,100,0.001436059880652465,0.0012352813500910997,1376000
exhaustive,0,21600,100,0.0014452823769534008,0.0015538828447461128,1382400
exhaustive,0,21700,100,0.0014938245789380745,0.0022691860795021057,1388800
exhaustive,0,21800,100,0.0015098919306183235,0.0014632213860750198,1395200
exhaustive,0,21900,100,0.0015096361911855639,0.0011767984833568335,1401600
exhaustive,0,22000,100,0.001573845405364409,0.0022890730760991573,1408000
exhaustive,0,22100,100,0.0015694568771868944,0.001049172948114574,1414400
exhaustive,0,22200,100,0.0014239010791061446,0.0012290753656998277,1420800
exhaustive,0,22300,100,0.0015663329436210916,0.001427750801667571,1427200
exhaustive,0,22400,100,0.001557161221280694,0.003607387188822031,1433600
exhaustive,0,22500,100,0.0015029754972783848,0.0011886381544172764,1440000
exhaustive,0,22600,100,0.0015952452109195291,0.001616349327377975,1446400
exhaustive,0,22700,100,0.001490118126384914,0.0010334164835512638,1452800
exhaustive,0,22800,100,0.0014878040534676985,0.0038651670329272747,1459200
exhaustive,0,22900,100,0.0015789143578149379,0.001616759691387415,1465600
exhaustive,0,23000,100,0.001446904981858097,0.0013538689818233252,1472000
exhaustive,0,23100,100,0.0015954138728557154,0.0015211696736514568,1478400
exhaustive,0,23200,100,0.001379644332337193,0.001842929283156991,1484800
exhaustive,0,23300,100,0.0014786509197438136,0.0022733004298061132,1491200
exhaustive,0,23400,100,0.0015369621571153403,0.0012077032588422298,1497600
exhaustive,0,23500,100,0.0015500574558973313,0.0011911201290786266,1504000
exhaustive,0,23600,100,0.0014644893782678992,0.0015082580503076315,1510400
exhaustive,0,23700,100,0.0014471083239186555,0.0014748844550922513,1516800
exhaustive,0,23800,100,0.0014769007655559107,0.0012377421371638775,1523200
exhaustive,0,23900,100,0.001534895152435638,0.001066941418685019,1529600
exhaustive,0,24000,100,0.001529762431164272,0.0007517656777054071,1536000
exhaustive,0,24100,100,0.0015239947283407673,0.0016424257773905993,1542400
exhaustive,0,24200,100,0.0015020282712066547,0.0015304798725992441,1548800
exhaustive,0,24300,100,0.0013907880941405892,0.0006499343435280025,1555200
exhaustive,0,24400,100,0.0015570553165161981,0.001338514848612249,1561600
exhaustive,0,24500,100,0.001566752644139342,0.0013538995990529656,1568000
exhaustive,0,24600,100,0.0014896362682338803,0.0017915362259373069,1574400
exhaustive,0,24700,100,0.0015049824601737782,0.0014990456402301788,1580800
exhaustive,0,24800,100,0.0015866250352701173,0.0017835580511018634,1587200
exhaustive,0,24900,100,0.0016147752659162505,0.003543596714735031,1593600
exhaustive,0,25000,100,0.001454199108411558,0.0011524234432727098,1600000
exhaustive,0,25100,100,0.0014893683115951718,0.0011360538192093372,1606400
exhaustive,0,25200,100,0.0015370755706680939,0.0014502324629575014,1612800
exhaustive,0,25300,100,0.0014858769491547718,0.0011527950409799814,1619200
exhaustive,0,25400,100,0.0016830122331157327,0.0017200654838234186,1625600
exhaustive,0,25500,100,0.001543325450620614,0.0015306102577596903,1632000
exhaustive,0,25600,100,0.0015174313762690871,0.0010973458411172032,1638400
exhaustive,0,25700,100,0.0014409593993332237,0.002507288008928299,1644800
exhaustive,0,25800,100,0.001510755650815554,0.0010893831495195627,1651200
exhaustive,0,25900,100,0.0015595870703691618,0.001257253112271428,1657600
exhaustive,0,26000,100,0.001514005971257575,0.0013457976747304201,1664000
exhaustive,0,26100,100,0.0015202653291635216,0.0012877873377874494,1670400
exhaustive,0,26200,100,0.001589094601222314,0.0010492122964933515,1676800
exhaustive,0,26300,100,0.0015557632962008938,0.0010860052425414324,1683200
exhaustive,0,26400,100,0.0015537414915161207,0.0015673886518925428,1689600
exhaustive,0,26500,100,0.0014645823114551604,0.0012865683529525995,1696000
exhaustive,0,26600,100,0.0015059804101474584,0.0016433916753157973,1702400
exhaustive,0,26700,100,0.0014274556143209337,0.0014801237266510725,1708800
exhaustive,0,26800,100,0.0015607357077533379,0.001500008744187653,1715200
exhaustive,0,26900,100,0.0015992233849829063,0.0007427610107697546,1721600
exhaustive,0,27000,100,0.0015658711857395246,0.002606302499771118,1728000
exhaustive,0,27100,100,0.0014897644624579697,0.0014325077645480633,1734400
exhaustive,0,27200,100,0.0015142990951426327,0.0008472796180285513,1740800
exhaustive,0,27300,100,0.001507852824870497,0.0006815746892243624,1747200
exhaustive,0,27400,100,0.0015483897394733505,0.0012815659865736961,1753600
exhaustive,0,27500,100,0.0014909302978776396,0.002047457965090871,1760000
exhaustive,0,27600,100,0.001410850581014529,0.0006554891006089747,1766400
exhaustive,0,27700,100,0.0014467725122813135,0.0013625742867588997,1772800
exhaustive,0,27800,100,0.00144429853069596,0.002491505118086934,1779200
exhaustive,0,27900,100,0.0013571269379463048,0.0012374541256576777,1785600
exhaustive,0,28000,100,0.001466808570548892,0.0013449485413730145,1792000
exhaustive,0,28100,100,0.0016080936347134412,0.0011814138852059841,1798400
exhaustive,0,28200,100,0.0015297663386445491,0.0008776390459388494,1804800
exhaustive,0,28300,100,0.0015095118613680824,0.003198990598320961,1811200
exhaustive,0,28400,100,0.0015717170730931685,0.0019066613167524338,1817600
exhaustive,0,28500,100,0.001519410473993048,0.0009714525658637285,1824000
exhaustive,0,28600,100,0.0014181837328942494,0.0017850087024271488,1830400
exhaustive,0,28700,100,0.001410985141992569,0.0004974680487066507,1836800
exhaustive,0,28800,100,0.001416124107199721,0.0017570641357451677,1843200
exhaustive,0,28900,100,0.001526624127291143,0.0008746039238758385,1849600
exhaustive,0,29000,100,0.0015672275092219934,0.001150770578533411,1856000
exhaustive,0,29100,100,0.0014669858914567158,0.001947358949109912,1862400
exhaustive,0,29200,100,0.0014560749049996958,0.0011948574101552367,1868800
exhaustive,0,29300,100,0.0015447984251659363,0.0022668398451060057,1875200
exhaustive,0,29400,100,0.0015427028585691005,0.0009159452747553587,1881600
exhaustive,0,29500,100,0.001543521351995878,0.0033919450361281633,1888000
exhaustive,0,29600,100,0.0015107057703426109,0.0015456036198884249,1894400
exhaustive,0,29700,100,0.0015020429063588381,0.0015317280776798725,1900800
exhaustive,0,29800,100,0.001573527002474293,0.0016282906290143728,1907200
exhaustive,0,29900,100,0.0014507839625002817,0.0013542654924094677,1913600
exhaustive,0,30000,100,0.0014415696045034566,0.001713427947834134,1920000
exhaustive,1,100,100,0.02080139795318246,0.024133386090397835,6400
exhaustive,1,200,100,0.017865487919189037,0.029583103954792023,12800
exhaustive,1,300,100,0.014005686552263797,0.011253928765654564,19200
exhaustive,1,400,100,0.012743358104489743,0.010543460957705975,25600
exhaustive,1,500,100,0.009037537151016295,0.005023612175136805,32000
exhaustive,1,600,100,0.0062247874354943635,0.004509986378252506,38400
exhaustive,1,700,100,0.005638838303275407,0.005240072496235371,44800
exhaustive,1,800,100,0.006750601376406849,0.008534114807844162,51200
exhaustive,1,900,100,0.00715019549941644,0.004366200417280197,57600
exhaustive,1,1000,100,0.006805567045230419,0.008097316138446331,64000
exhaustive,1,1100,100,0.007679856477770954,0.010809145867824554,70400
exhaustive,1,1200,100,0.007226432685274631,0.013203395530581474,76800
exhaustive,1,1300,100,0.00766898809466511,0.013536188751459122,83200
exhaustive,1,1400,100,0.007054751568939537,0.005585898645222187,89600
exhaustive,1,1500,100,0.006458437514957041,0.006867690477520227,96000
exhaustive,1,1600,100,0.006075482587330043,0.0027033276855945587,102400
exhaustive,1,1700,100,0.005484872488304973,0.0022940693888813257,108800
exhaustive,1,1800,100,0.0054250586591660975,0.006796377710998058,115200
exhaustive,1,1900,100,0.004644743368262425,0.005977436900138855,121600
exhaustive,1,2000,100,0.0040739913447760045,0.0015762180555611849,128000
exhaustive,1,2100,100,0.0036773310846183447,0.0019308991031721234,134400
exhaustive,1,2200,100,0.00309438124706503,0.0018056994304060936,140800
exhaustive,1,2300,100,0.0026803308323724196,0.0022462415508925915,147200
exhaustive,1,2400,100,0.0022799397178459913,0.0010567925637587905,153600
exhaustive,1,2500,100,0.0020090907934354617,0.002046275418251753,160000
exhaustive,1,2600,100,0.002098395674256608,0.0037049090024083853,166400
exhaustive,1,2700,100,0.001801108789513819,0.0018150208052247763,172800
exhaustive,1,2800,100,0.0018697159009752795,0.0031175219919532537,179200
exhaustive,1,2900,100,0.0017444734292803331,0.0019759302958846092,185600
exhaustive,1,3000,100,0.0019012507877778262,0.001568882493302226,192000
exhaustive,1,3100,100,0.0017587939888471737,0.00305282068438828,198400
exhaustive,1,3200,100,0.0018795353005407378,0.0010800729505717754,204800
exhaustive,1,3300,100,0.0018731942446902393,0.002379767131060362,211200
exhaustive,1,3400,100,0.0019564089365303517,0.0019988645799458027,217600
exhaustive,1,3500,100,0.0017732664209324867,0.0024160356260836124,224000
exhaustive,1,3600,100,0.001936247029225342,0.001327869133092463,230400
exhaustive,1,3700,100,0.0019106223061680794,0.001784133375622332,236800
exhaustive,1,3800,100,0.0018751620536204428,0.0015245210379362106,243200
exhaustive,1,3900,100,0.002130211440380663,0.001161574269644916,249600
exhaustive,1,4000,100,0.0018284032365772874,0.0024282755330204964,256000
exhaustive,1,4100,100,0.001891967014526017,0.0018059154972434044,262400
exhaustive,1,4200,100,0.00196879509370774,0.002718051429837942,268800
exhaustive,1,4300,100,0.0019295778690138832,0.0019302961882203817,275200
exhaustive,1,4400,100,0.0018618146295193583,0.0017032647738233209,281600
exhaustive,1,4500,100,0.0019345323124434798,0.0009561422630213201,288000
exhaustive,1,4600,100,0.001922556406352669,0.0011642132885754108,294400
exhaustive,1,4700,100,0.0020228546496946363,0.002327587688341737,300800
exhaustive,1,4800,100,0.002053543000947684,0.0027126683853566647,307200
exhaustive,1,4900,100,0.001989363314351067,0.00226938771083951,313600
exhaustive,1,5000,100,0.001964905049535446,0.00239801243878901,320000
exhaustive,1,5100,100,0.0018663039151579142,0.0017030870076268911,326400
exhaustive,1,5200,100,0.0017982350481906906,0.0010880918707698584,332800
exhaustive,1,5300,100,0.0017278262315085157,0.0021444361191242933,339200
exhaustive,1,5400,100,0.001985410982160829,0.00204620324075222,345600
exhaustive,1,5500,100,0.001955075644655153,0.0012467678170651197,352000
exhaustive,1,5600,100,0.0018585596163757144,0.0026251072995364666,358400
exhaustive,1,5700,100,0.001798808302846737,0.0017658267170190811,364800
exhaustive,1,5800,100,0.0018384382169460878,0.0010421742917969823,371200
exhaustive,1,5900,100,0.0018110856623388828,0.0013900487683713436,377600
exhaustive,1,6000,100,0.0017240847775246949,0.0009835276287049055,384000
exhaustive,1,6100,100,0.001929857693030499,0.0018356464570388198,390400
exhaustive,1,6200,100,0.0018336697056656704,0.001368113560602069,396800
exhaustive,1,6300,100,0.0017281826917314902,0.001175540965050459,403200
exhaustive,1,6400,100,0.001870031482540071,0.0015277693746611476,409600
exhaustive,1,6500,100,0.001909338742843829,0.0017522459384053946,416000
exhaustive,1,6600,100,0.0019305426441133021,0.0019188551232218742,422400
exhaustive,1,6700,100,0.0017904381267726422,0.0013600573875010014,428800
exhaustive,1,6800,100,0.0018810827186098323,0.001176115358248353,435200
exhaustive,1,6900,100,0.0017007850215304643,0.0010223950957879424,441600
exhaustive,1,7000,100,0.0018231999292038382,0.0014328700490295887,448000
exhaustive,1,7100,100,0.0018044177605770527,0.002227797405794263,454400
exhaustive,1,7200,100,0.0018757371697574853,0.001048065721988678,460800
exhaustive,1,7300,100,0.001692914409795776,0.0008999122655950487,467200
exhaustive,1,7400,100,0.0016583983454620465,0.0014446391724050045,473600
exhaustive,1,7500,100,0.0016120228706859052,0.002139688702300191,480000
exhaustive,1,7600,100,0.0016071786422980948,0.0010872756829485297,486400
exhaustive,1,7700,100,0.00173458622652106,0.001734672812744975,492800
exhaustive,1,7800,100,0.0017134290147805585,0.0012279526563361287,499200
exhaustive,1,7900,100,0.0016018630401231349,0.00150387454777956,505600
exhaustive,1,8000,100,0.0017023837112355978,0.0021439692936837673,512000
exhaustive,1,8100,100,0.0017444885132135823,0.0006595145678147674,518400
exhaustive,1,8200,100,0.0016086319676833227,0.0016331574879586697,524800
exhaustive,1,8300,100,0.001645059216534719,0.0018165498040616512,531200
exhaustive,1,8400,100,0.0017043110460508615,0.0011266329092904925,537600
exhaustive,1,8500,100,0.0016136131080565974,0.0017631303053349257,544000
exhaustive,1,8600,100,0.0014384487603092567,0.0008314005681313574,550400
exhaustive,1,8700,100,0.0015233142673969269,0.0014156473334878683,556800
exhaustive,1,8800,100,0.0016412117821164428,0.0011289858957752585,563200
exhaustive,1,8900,100,0.001572551533463411,0.001389163313433528,569600
