seed,checkpoint,panel,map_seed,time_bucket,states,action_values,winnable_states,impossible_states,optimal_winnable_actions,abs_error_sum,squared_error_sum,signed_error_sum,action_regret_sum,winnable_regret_sum,impossible_regret_sum,mean_abs_q_error,rmse_q_error,q95_abs_q_error,mean_signed_q_bias,optimal_action_rate,mean_action_regret,winnable_mean_action_regret,impossible_action_regret
2,10000,train,300048,17-24,160,640,160,0,129,12.352235264615848,0.38840426413787366,-7.821497676894882,1.0831929309634807,1.0831929309634807,0.0,0.01930036760096226,0.024634968291342037,0.027075152054328325,-0.012221090120148253,0.80625,0.006769955818521754,0.006769955818521754,
2,10000,train,300048,25-32,160,640,160,0,123,12.416401781768112,0.3836020279457535,-8.768686113879898,1.307519131783771,1.307519131783771,0.0,0.019400627784012674,0.02448220105842691,0.027042244182632194,-0.01370107205293734,0.76875,0.00817199457364857,0.00817199457364857,
2,10000,train,300049,all,640,2560,601,39,510,106.97755014643522,25.275265689621396,13.48317885389335,5.994571429821036,5.994571429821036,0.0,0.04178810552595126,0.09936372909673005,0.20223553119122975,0.00526686673980209,0.848585690515807,0.009366517859095369,0.009974328502198064,0.0
2,10000,train,300049,1-8,160,640,121,39,107,74.87316839435232,24.458708487538892,13.445365435251375,3.187665183524682,3.1876651835246816,0.0,0.1169893256161755,0.19549100238061987,0.3472721279024295,0.021008383492580274,0.8842975206611571,0.019922907397029264,0.02634434035970811,0.0
2,10000,train,300049,9-16,160,640,160,0,132,11.165488428432802,0.31074679159543,1.2612799185962436,1.0254897487654517,1.0254897487654517,0.0,0.017446075669426252,0.02203501445127412,0.029800435302200404,0.0019707498728066307,0.825,0.006409310929784073,0.006409310929784073,
2,10000,train,300049,17-24,160,640,160,0,134,10.33284688864904,0.24827187780498178,-0.21118452365686924,0.9484717487654515,0.9484717487654515,0.0,0.016145073263514127,0.01969580689056135,0.02780923623133645,-0.0003299758182138582,0.8375,0.005927948429784072,0.005927948429784072,
2,10000,train,300049,25-32,160,640,160,0,137,10.606046435001062,0.25753853268209514,-1.0122819762974027,0.8329447487654511,0.8329447487654511,0.0,0.01657194755468916,0.020060008906173838,0.02743106200505838,-0.0015816905879646917,0.85625,0.005205904679784069,0.005205904679784069,
2,10000,train,300050,all,640,2560,587,53,488,153.28307747169828,38.92905939874933,6.675201148026392,5.694146081166023,5.694146081166023,0.0,0.05987620213738214,0.12331530248771423,0.28111667109845023,0.0026075004484478097,0.8313458262350937,0.00889710325182191,0.009700419218340755,0.0
2,10000,train,300050,1-8,160,640,107,53,89,100.92889844877985,35.75523803569054,31.59659003952454,2.3241245101255807,2.3241245101255807,0.0,0.1577014038262185,0.2363631939003331,0.47474452557493657,0.04936967193675709,0.8317757009345794,0.01452577818828488,0.021720789814257763,0.0
2,10000,train,300050,9-16,160,640,160,0,116,26.419976215194005,2.3952690962732173,-15.299063314053713,1.5904487970603223,1.5904487970603223,0.0,0.04128121283624063,0.06117685806681234,0.14120742253225385,-0.023904786428208927,0.725,0.009940304981627015,0.009940304981627015,
2,10000,train,300050,17-24,160,640,160,0,141,13.237908164764688,0.40166457077684864,-4.080081332776248,0.80121046439948,0.80121046439948,0.0,0.020684231507444827,0.02505196383197984,0.031429941108055984,-0.006375127082462888,0.88125,0.00500756540249675,0.00500756540249675,
2,10000,train,300050,25-32,160,640,160,0,142,12.696294642959725,0.37688769600872557,-5.542244244668185,0.9783623095806397,0.9783623095806397,0.0,0.01983796037962457,0.02426699456079458,0.030800456147416277,-0.00865975663229404,0.8875,0.006114764434878998,0.006114764434878998,
2,10000,train,300051,all,640,2560,594,46,510,109.32210238581251,26.61068034031571,46.24064911482026,4.984001677785812,4.9840016777858125,0.0,0.042703946244458016,0.10195487731313213,0.23144251782407724,0.018062753560476662,0.8585858585858586,0.0077875026215403305,0.00839057521512763,0.0
2,10000,train,300051,1-8,160,640,114,46,108,75.22943378903167,25.66168634247005,39.580719415970286,1.8905774773289994,1.8905774773289992,0.0,0.11754599029536199,0.20024081729285229,0.3650827477379267,0.06184487408745357,0.9473684210526315,0.011816109233306246,0.01658401295902631,0.0
2,10000,train,300051,9-16,160,640,160,0,146,12.107707293985506,0.3726667307948942,5.736749770292065,0.5107305352999996,0.5107305352999996,0.0,0.018918292646852353,0.024130722468816018,0.032075416861084324,0.008963671516081352,0.9125,0.003192065845624997,0.003192065845624997,
2,10000,train,300051,17-24,160,640,160,0,140,10.713459412925005,0.27705646175477905,1.7000535150850036,0.722885866791362,0.722885866791362,0.0,0.01673978033269532,0.020806266399617263,0.026386590040670874,0.002656333617320318,0.875,0.004518036667446013,0.004518036667446013,
2,10000,train,300051,25-32,160,640,160,0,116,11.271501889870338,0.2992708052959864,-0.7768735865270875,1.8598077983654508,1.8598077983654508,0.0,0.017611721702922405,0.021624306538591678,0.027164770238775292,-0.0012138649789485742,0.725,0.011623798739784068,0.011623798739784068,
2,10000,train,300052,all,640,2560,601,39,468,102.168045580517,24.536438243080227,-4.690329371616988,8.295375741298008,8.295375741298006,0.0,0.039909392804889456,0.09790069554759667,0.21119838529370563,-0.001832159910787886,0.778702163061564,0.012961524595778137,0.013802621865720476,0.0
