map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining,policy,q0,q1,q2,q3
300000,4,2,350,2,1.03,-1,1,0,31,random,,,,
300000,5,1,447,1,-0.04639999999999999,606,0,0,32,random,,,,
300000,5,2,606,3,-0.04520000000000001,637,0,0,31,random,,,,
300000,5,3,637,3,-0.005199999999999995,636,0,0,30,random,,,,
300000,5,4,636,3,-0.005199999999999995,635,0,0,29,random,,,,
300000,5,5,635,2,0.03360000000000002,602,0,0,28,random,,,,
300000,5,6,602,2,0.03239999999999999,569,0,0,27,random,,,,
300000,5,7,569,0,0.031200000000000006,408,0,0,26,random,,,,
300000,5,8,408,0,1.03,-1,1,0,25,random,,,,
300000,6,1,447,3,-0.04639999999999999,478,0,0,32,random,,,,
300000,6,2,478,2,0.03239999999999999,445,0,0,31,random,,,,
300000,6,3,445,0,0.031200000000000006,348,0,0,30,random,,,,
300000,6,4,348,2,1.03,-1,1,0,29,random,,,,
300000,7,1,447,3,-0.04639999999999999,478,0,0,32,random,,,,
300000,7,2,478,3,-0.006399999999999997,477,0,0,31,random,,,,
300000,7,3,477,1,-0.04520000000000001,636,0,0,30,random,,,,
300000,7,4,636,2,0.03360000000000002,603,0,0,29,random,,,,
300000,7,5,603,1,-0.006399999999999997,602,0,0,28,random,,,,
300000,7,6,602,2,0.03239999999999999,569,0,0,27,random,,,,
300000,7,7,569,2,-0.04639999999999999,536,0,0,26,random,,,,
300000,7,8,536,3,0.03239999999999999,567,0,0,25,random,,,,
300000,7,9,567,0,0.031200000000000006,406,0,0,24,random,,,,
300000,7,10,406,2,-0.0476,373,0,0,23,random,,,,
300000,7,11,373,2,-0.007599999999999997,372,0,0,22,random,,,,
300000,7,12,372,3,0.031200000000000006,403,0,0,21,random,,,,
300000,7,13,403,0,1.03,-1,1,0,20,random,,,,
300000,8,1,447,0,0.031200000000000006,350,0,0,32,guided,0.8855429291725159,0.8205183744430542,0.8770990967750549,0.8648281097412109
300000,8,2,350,2,1.03,-1,1,0,31,guided,0.7374815940856934,0.7224732637405396,1.0030505657196045,0.8994507789611816
300000,9,1,447,0,0.031200000000000006,350,0,0,32,guided,0.8855429291725159,0.8205183744430542,0.8770990967750549,0.8648281097412109
300000,9,2,350,2,1.03,-1,1,0,31,guided,0.7374815940856934,0.7224732637405396,1.0030505657196045,0.8994507789611816
300000,10,1,447,0,0.031200000000000006,350,0,0,32,guided,0.8855429291725159,0.8205183744430542,0.8770990967750549,0.8648281097412109
300000,10,2,350,2,1.03,-1,1,0,31,guided,0.7374815940856934,0.7224732637405396,1.0030505657196045,0.8994507789611816
300000,11,1,447,0,0.031200000000000006,350,0,0,32,guided,0.8855429291725159,0.8205183744430542,0.8770990967750549,0.8648281097412109
300000,11,2,350,2,1.03,-1,1,0,31,guided,0.7374815940856934,0.7224732637405396,1.0030505657196045,0.8994507789611816
300000,12,1,447,0,0.031200000000000006,350,0,0,32,guided,0.8855429291725159,0.8205183744430542,0.8770990967750549,0.8648281097412109
300000,12,2,350,2,1.03,-1,1,0,31,guided,0.7374815940856934,0.7224732637405396,1.0030505657196045,0.8994507789611816
300000,13,1,447,0,0.031200000000000006,350,0,0,32,guided,0.8855429291725159,0.8205183744430542,0.8770990967750549,0.8648281097412109
300000,13,2,350,2,1.03,-1,1,0,31,guided,0.7374815940856934,0.7224732637405396,1.0030505657196045,0.8994507789611816
300000,14,1,447,0,0.031200000000000006,350,0,0,32,guided,0.8855429291725159,0.8205183744430542,0.8770990967750549,0.8648281097412109
300000,14,2,350,2,1.03,-1,1,0,31,guided,0.7374815940856934,0.7224732637405396,1.0030505657196045,0.8994507789611816
300000,15,1,447,0,0.031200000000000006,350,0,0,32,guided,0.8855429291725159,0.8205183744430542,0.8770990967750549,0.8648281097412109
300000,15,2,350,2,1.03,-1,1,0,31,guided,0.7374815940856934,0.7224732637405396,1.0030505657196045,0.8994507789611816
300001,0,1,959,3,-0.005199999999999995,958,0,0,32,random,,,,
300001,0,2,958,1,0.03360000000000002,1085,0,0,31,random,,,,
300001,0,3,1085,3,0.03239999999999999,1116,0,0,30,random,,,,
300001,0,4,1116,1,0.031200000000000006,1275,0,0,29,random,,,,
300001,0,5,1275,1,-0.008799999999999999,1274,0,0,28,random,,,,
300001,0,6,1274,0,-0.0476,1113,0,0,27,random,,,,
300001,0,7,1113,0,-0.007599999999999997,1112,0,0,26,random,,,,
300001,0,8,1112,3,0.031200000000000006,1143,0,0,25,random,,,,
300001,0,9,1143,3,-0.008799999999999999,1142,0,0,24,random,,,,
300001,0,10,1142,3,-0.008799999999999999,1141,0,0,23,random,,,,
300001,0,11,1141,0,-0.0476,980,0,0,22,random,,,,
300001,0,12,980,2,-0.007599999999999997,979,0,0,21,random,,,,
300001,0,13,979,0,-0.04639999999999999,882,0,0,20,random,,,,
300001,0,14,882,3,-0.006399999999999997,881,0,0,19,random,,,,
300001,0,15,881,1,0.03239999999999999,976,0,0,18,random,,,,
300001,0,16,976,2,-0.007599999999999997,975,0,0,17,random,,,,
300001,0,17,975,3,-0.007599999999999997,974,0,0,16,random,,,,
300001,0,18,974,1,0.031200000000000006,1133,0,0,15,random,,,,
300001,0,19,1133,2,-0.0476,1100,0,0,14,random,,,,
300001,0,20,1100,3,0.031200000000000006,1131,0,0,13,random,,,,
300001,0,21,1131,0,-0.0476,970,0,0,12,random,,,,
300001,0,22,970,0,-0.04639999999999999,873,0,0,11,random,,,,
300001,0,23,873,1,0.03239999999999999,968,0,0,10,random,,,,
300001,0,24,968,0,-0.04639999999999999,871,0,0,9,random,,,,
300001,0,25,871,1,0.03239999999999999,966,0,0,8,random,,,,
300001,0,26,966,2,-0.007599999999999997,965,0,0,7,random,,,,
300001,0,27,965,2,-0.007599999999999997,964,0,0,6,random,,,,
300001,0,28,964,3,-0.007599999999999997,963,0,0,5,random,,,,
300001,0,29,963,3,-0.007599999999999997,962,0,0,4,random,,,,
300001,0,30,962,2,-0.007599999999999997,961,0,0,3,random,,,,
300001,0,31,961,0,-0.04639999999999999,864,0,0,2,random,,,,
300001,0,32,864,1,0.11,-1,0,1,1,random,,,,
300001,1,1,959,3,-0.005199999999999995,958,0,0,32,random,,,,
300001,1,2,958,3,-0.005199999999999995,957,0,0,31,random,,,,
300001,1,3,957,0,-0.005199999999999995,956,0,0,30,random,,,,
300001,1,4,956,2,-0.005199999999999995,955,0,0,29,random,,,,
300001,1,5,955,0,-0.005199999999999995,954,0,0,28,random,,,,
300001,1,6,954,2,-0.005199999999999995,953,0,0,27,random,,,,
