seed,condition,checkpoint,world,map_seed,success,steps,base_return,shaped_return,parameter_hash
0,untrained,untrained,B,910018,0,32,-0.3200000000000001,-0.1283999999999998,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910019,0,32,-0.3200000000000001,0.1032000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910020,0,32,-0.3200000000000001,-0.20280000000000004,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910021,0,32,-0.3200000000000001,-0.04199999999999987,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910022,0,32,-0.3200000000000001,0.1460000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910023,0,32,-0.3200000000000001,0.1432000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910024,0,32,-0.3200000000000001,-0.20280000000000004,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910025,0,32,-0.3200000000000001,-0.2428,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910026,0,32,-0.3200000000000001,-0.08839999999999988,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910027,0,32,-0.3200000000000001,-0.08839999999999988,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910028,0,32,-0.3200000000000001,0.06600000000000023,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910029,0,32,-0.3200000000000001,0.1432000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910030,0,32,-0.3200000000000001,-0.05119999999999966,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,910031,0,32,-0.3200000000000001,0.1432000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,continued,after_a,A,910000,1,2,0.98,1.0612,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
0,continued,after_a,A,910001,0,32,-0.3200000000000001,-0.045599999999999904,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
0,continued,after_a,A,910002,0,32,-0.3200000000000001,-0.16559999999999986,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
0,continued,after_a,A,910003,0,32,-0.3200000000000001,-0.12559999999999988,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
0,continued,after_a,A,910004,1,7,0.9299999999999999,0.9772000000000001,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
0,continued,after_a,A,910005,0,32,-0.3200000000000001,-0.02679999999999988,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
0,continued,after_a,A,910006,0,32,-0.3200000000000001,-0.18119999999999997,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
0,continued,after_a,A,910007,0,32,-0.3200000000000001,-0.00039999999999976166,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
0,continued,after_a,A,910008,1,1,0.99,1.03,4f307724e2d6a58cb6de8a81c7ff1c36194ae173e3b5a55a0fb7aa829ab50ca5
