seed,map_seed,tick,position_row,position_col,action,winnable_before,action_preserves_solvability,avoidable_deadline_loss,optimal_action,optimal_q_regret,q_absolute_error_mean,q_signed_error_mean,learned_top_two_margin,learned_selected_advantage_over_best_optimal,blocked,position_revisit,base_reward,shaped_reward,terminated,truncated,learned_q_0,learned_q_1,learned_q_2,learned_q_3,optimal_q_0,optimal_q_1,optimal_q_2,optimal_q_3
2,910027,10,0,3,2,True,True,False,True,0.0,0.8184865519871806,-0.8184865519871806,0.01916910707950592,0.0,False,True,-0.01,0.031200000000000006,False,False,0.142769455909729,0.16542711853981018,0.1845962256193161,0.16422653198242188,0.9917909999999999,0.9544372699999998,1.0303,0.9544372699999998
2,910027,11,0,2,3,True,True,False,False,0.07820900000000008,0.8743746410684585,-0.8743746410684585,0.022333383560180664,0.022333383560180664,False,True,-0.01,-0.0476,False,False,0.0885353535413742,0.09999997913837433,0.10775735974311829,0.13009074330329895,0.9903,0.9517909999999999,1.03,0.9517909999999999
2,910027,12,0,3,2,True,True,False,True,0.0,0.8319124162664507,-0.8319124162664507,0.019627481698989868,0.0,False,True,-0.01,0.031200000000000006,False,False,0.1289178878068924,0.15190020203590393,0.1715276837348938,0.15097010135650635,0.9917909999999999,0.9544372699999998,1.0303,0.9544372699999998
2,910027,13,0,2,3,True,True,False,False,0.07820900000000008,0.8841498475151062,-0.8841498475151062,0.014638930559158325,0.014638930559158325,False,True,-0.01,-0.0476,False,False,0.08114780485630035,0.09100119769573212,0.1002473384141922,0.11488626897335052,0.9903,0.9517909999999999,1.03,0.9517909999999999
2,910027,14,0,3,2,True,True,False,True,0.0,0.8364838112613057,-0.8364838112613057,0.018858671188354492,0.0,False,True,-0.01,0.031200000000000006,False,False,0.12405841797590256,0.14749054610729218,0.16634921729564667,0.14713211357593536,0.9917909999999999,0.9544372699999998,1.0303,0.9544372699999998
2,910027,15,0,2,3,True,True,False,False,0.07820900000000008,0.8938777725772857,-0.8938777725772857,0.0071963295340538025,0.0071963295340538025,False,True,-0.01,-0.0476,False,False,0.07370266318321228,0.08202346414327621,0.09272422641515732,0.09992055594921112,0.9903,0.9517909999999999,1.03,0.9517909999999999
2,910027,16,0,3,2,True,True,False,True,0.0,0.8379434284290169,-0.8379434284290169,0.017343848943710327,0.0,False,True,-0.01,0.031200000000000006,False,False,0.1223541721701622,0.1462884247303009,0.16394653916358948,0.14660269021987915,0.9917909999999999,0.9544372699999998,1.0303,0.9544372699999998
2,910027,17,0,2,2,True,True,False,True,0.0,0.9083529729025364,-0.9083529729025364,0.00019894540309906006,0.0,False,True,0.99,1.03,True,False,0.0613100528717041,0.06833362579345703,0.08051268756389618,0.08031374216079712,0.9903,0.9517909999999999,1.03,0.9517909999999999
2,910028,1,0,4,2,True,True,False,True,0.0,0.7430820314225709,-0.7430820314225709,0.00628054141998291,0.0,False,False,-0.01,0.0348,False,False,0.26020365953445435,0.2846173048019409,0.29089784622192383,0.27447742223739624,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,2,0,3,3,True,True,False,False,0.07137924265700002,0.7409457936625353,-0.7409457936625353,0.0049866437911987305,0.0049866437911987305,False,False,-0.01,-0.04399999999999999,False,False,0.2470291703939438,0.27167975902557373,0.2709782123565674,0.27666640281677246,0.9982041518999998,1.0344372699999997,1.0344372699999997,0.9630580273429997
2,910028,3,0,4,2,True,True,False,True,0.0,0.7608332185086762,-0.7608332185086762,0.0033903419971466064,0.0,False,True,-0.01,0.0348,False,False,0.24401167035102844,0.2642262876033783,0.2676166296005249,0.2633368968963623,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
