seed,map_seed,success,steps,base_return,blocked_steps,position_revisit_steps,winnable_decisions,optimal_fraction_when_winnable,mean_q_regret_when_winnable,mean_absolute_q_error,avoidable_deadline_loss_steps
1,910000,False,32,-0.3200000000000001,32,31,31,0.0,0.06855709677419368,0.2901726608380084,1
1,910001,True,17,0.83,0,11,17,0.6470588235294118,0.026775081176470664,0.6109236772691584,0
1,910002,False,32,-0.3200000000000001,12,25,31,0.3225806451612903,0.06782189247419364,0.6009137192193945,1
1,910003,True,3,0.97,0,0,3,1.0,0.0,0.6853711708718725,0
1,910004,True,1,0.99,0,0,1,1.0,0.0,0.16435916531848904,0
1,910005,False,32,-0.3200000000000001,10,25,29,0.3793103448275862,0.06782321898275868,0.6795740306948856,1
1,910006,False,32,-0.3200000000000001,30,30,31,0.0,0.06855709677419368,0.6622505260170931,1
1,910007,False,32,-0.3200000000000001,30,29,29,0.034482758620689655,0.0664177004571379,0.7115821510678753,1
1,910008,True,1,0.99,0,0,1,1.0,0.0,0.7934329210877419,0
1,910009,False,32,-0.3200000000000001,30,29,25,0.04,0.0631528387578585,0.46431061947072033,1
1,910010,False,32,-0.3200000000000001,32,31,28,0.0,0.06550850617996444,0.5718973513110581,1
1,910011,False,32,-0.3200000000000001,28,27,32,0.125,0.06474687500000006,0.8874258174251919,1
1,910012,True,2,0.98,0,0,2,1.0,0.0,0.946780912687664,0
1,910013,True,5,0.95,0,0,5,1.0,0.0,0.621481410798526,0
1,910014,False,32,-0.3200000000000001,32,31,31,0.0,0.06855709677419368,0.6306473597935895,1
1,910015,False,32,-0.3200000000000001,32,31,32,0.0,0.06970937500000007,0.6940045552237704,1
1,910016,False,32,-0.3200000000000001,26,30,31,0.0967741935483871,0.06867235483870979,0.595817379023593,1
1,910017,False,32,-0.3200000000000001,17,29,32,0.25,0.06575835656250006,0.5466285122149221,1
1,910018,True,2,0.98,0,0,2,1.0,0.0,0.2677942038425826,0
1,910019,False,32,-0.3200000000000001,27,27,32,0.125,0.06474687500000006,0.2694926037932559,1
1,910020,False,32,-0.3200000000000001,0,30,32,0.5,0.06791046875000004,0.44718341791484945,1
1,910021,False,32,-0.3200000000000001,23,28,30,0.13333333333333333,0.06490698287333341,0.7630178851033402,1
1,910022,False,32,-0.3200000000000001,32,31,26,0.0,0.06383448922388574,0.335569839209449,1
1,910023,False,32,-0.3200000000000001,16,28,29,0.2413793103448276,0.06318966324187858,0.6601175639337056,1
1,910024,False,32,-0.3200000000000001,31,30,32,0.03125,0.06846875000000006,0.7094941558203289,1
1,910025,False,32,-0.3200000000000001,32,31,32,0.0,0.06970937500000007,0.6114736202780902,1
1,910026,True,17,0.83,0,13,17,0.5882352941176471,0.032203705882352975,0.2950862263008386,0
1,910027,True,3,0.97,0,0,3,1.0,0.0,0.7551221553609192,0
1,910028,True,7,0.9299999999999999,0,2,7,0.8571428571428571,0.011172714285714298,0.15781152193168418,0
1,910029,False,32,-0.3200000000000001,32,31,27,0.0,0.06463404766768653,0.5681178940268083,1
1,910030,False,32,-0.3200000000000001,32,31,30,0.0,0.06747193900000008,0.7175396184419013,1
1,910031,True,21,0.7899999999999999,13,13,21,0.3333333333333333,0.02818870142857148,0.548051864235879,0
2,910000,False,32,-0.3200000000000001,24,30,31,0.0967741935483871,0.06844529645161304,0.8477510793302614,1
2,910001,False,32,-0.3200000000000001,32,31,28,0.0,0.06550850617996444,0.7543166778960305,1
2,910002,False,32,-0.3200000000000001,26,26,31,0.0967741935483871,0.06837306806451622,0.7609013960527623,1
